MArca de Tiempo, Uso de Memoria(%)
10:25:24,59.9
10:25:25,59.9
10:25:26,59.9
10:25:27,60.0
10:25:28,60.2
10:25:29,60.2
10:25:30,61.2
10:25:31,61.2
10:25:32,61.2
10:25:33,61.3
10:25:34,61.3
10:25:35,61.5
10:25:36,61.6
10:25:37,61.5
10:25:38,61.4
10:25:39,61.4
10:25:40,61.7
10:25:41,62.3
10:25:42,62.3
10:25:43,63.0
10:25:44,64.1
10:25:45,65.4
10:25:46,65.6
10:25:47,66.1
10:25:48,66.7
10:25:49,66.3
10:25:50,65.8
10:25:51,66.0
10:25:52,66.1
10:25:53,67.0
10:25:54,66.8
10:25:55,66.9
10:25:56,67.0
10:25:57,66.8
10:25:58,66.9
10:25:59,67.0
10:26:00,67.0
10:26:01,66.9
10:26:02,66.9
10:26:03,66.6
10:26:04,66.6
10:26:05,66.7
10:26:06,67.3
10:26:07,67.4
10:26:08,67.3
10:26:09,67.7
10:26:10,67.6
10:26:11,68.0
10:26:12,68.2
10:26:13,68.1
10:26:14,67.9
10:26:15,67.8
10:26:16,67.9
10:26:17,67.5
10:26:18,67.2
10:26:19,67.6
10:26:20,67.6
10:26:21,67.4
10:26:22,67.4
10:26:23,67.4
10:26:24,67.4
10:26:25,67.3
10:26:26,67.3
10:26:27,67.3
10:26:28,67.2
10:26:29,67.2
10:26:30,67.3
10:26:31,67.3
10:26:32,67.5
10:26:33,67.7
10:26:34,67.8
10:26:35,67.8
10:26:36,67.8
10:26:37,67.8
10:26:38,67.8
10:26:39,67.4
10:26:40,61.8
10:26:41,61.7
10:26:42,61.7
10:26:43,61.6
10:26:44,61.6
10:26:45,61.6
10:26:46,61.6
10:26:47,62.5
10:26:48,62.5
10:26:49,62.5
10:26:50,62.7
10:26:51,63.0
10:26:52,63.0
10:26:53,63.1
10:26:54,63.2
10:26:55,63.2
10:26:56,63.3
10:26:57,63.6
10:26:58,63.5
10:26:59,63.3
10:27:00,63.8
10:27:01,63.4
10:27:02,63.6
10:27:03,63.7
10:27:04,62.0
10:27:05,60.0
10:27:06,59.9
10:27:07,59.9
10:27:08,59.9
10:27:09,59.9
10:27:10,59.9
10:27:11,59.9
10:27:12,60.0
10:27:13,60.0
10:27:14,60.8
10:27:15,60.7
10:27:16,60.7
10:27:17,60.7
10:27:18,60.6
10:27:19,60.6
10:27:20,60.6
10:27:21,60.6
10:27:22,60.6
10:27:23,60.6
10:27:24,60.6
10:27:25,60.6
10:27:26,60.6
10:27:27,60.7
10:27:28,60.2
10:27:29,61.4
10:27:30,61.8
10:27:31,62.1
10:27:32,62.2
10:27:33,62.1
10:27:34,62.2
10:27:35,62.3
10:27:36,62.7
10:27:37,63.4
10:27:38,63.4
10:27:39,63.8
10:27:40,63.9
10:27:41,64.0
10:27:42,64.1
10:27:43,64.1
10:27:44,64.0
10:27:45,63.8
10:27:46,60.8
10:27:47,60.7
10:27:48,60.8
10:27:49,61.1
10:27:50,61.1
10:27:51,61.3
10:27:52,61.3
10:27:53,61.3
10:27:54,60.8
10:27:55,60.8
10:27:56,60.0
10:27:57,60.0
10:27:59,60.4
10:28:00,60.5
10:28:01,60.6
10:28:02,61.0
10:28:03,61.2
10:28:04,61.0
10:28:05,60.9
10:28:06,60.9
10:28:07,60.8
10:28:08,60.7
10:28:09,60.7
10:28:10,60.7
10:28:11,60.7
10:28:12,60.8
10:28:13,61.4
10:28:14,61.4
10:28:15,61.4
10:28:16,61.4
10:28:17,61.4
10:28:18,61.4
10:28:19,61.5
10:28:20,61.5
10:28:21,61.5
10:28:22,61.5
10:28:23,61.6
10:28:24,61.7
10:28:25,61.7
10:28:26,61.6
10:28:27,61.7
10:28:28,61.8
10:28:29,61.8
10:28:30,61.8
10:28:31,61.8
10:28:32,61.8
10:28:33,61.8
10:28:34,61.7
10:28:35,61.7
10:28:36,61.6
10:28:37,61.6
10:28:38,61.6
10:28:39,61.7
10:28:40,61.7
10:28:41,61.7
10:28:42,61.7
10:28:43,61.7
10:28:44,61.6
10:28:45,61.6
10:28:46,61.5
10:28:47,61.5
10:28:48,61.4
10:28:49,61.5
10:28:50,61.5
10:28:51,61.5
10:28:52,61.4
10:28:53,60.9
10:28:54,60.9
10:28:55,60.9
10:28:56,60.9
10:28:57,60.9
10:28:58,60.9
10:28:59,60.9
10:29:00,60.9
10:29:01,60.9
10:29:02,60.9
10:29:03,60.9
10:29:04,60.9
10:29:05,60.9
10:29:06,60.9
10:29:07,59.7
10:29:08,59.7
10:29:09,59.8
10:29:10,59.8
10:29:11,59.9
10:29:12,59.9
10:29:13,59.9
10:29:14,59.9
10:29:15,60.1
10:29:16,60.9
10:29:17,61.5
10:29:18,61.6
10:29:19,61.8
10:29:20,61.9
10:29:21,62.0
10:29:22,62.1
10:29:23,62.1
10:29:24,60.3
10:29:25,60.3
10:29:26,60.2
10:29:27,60.2
10:29:28,60.2
10:29:29,60.2
10:29:30,60.1
10:29:31,60.1
10:29:32,60.2
10:29:33,60.1
10:29:34,60.1
10:29:35,60.1
10:29:36,60.1
10:29:37,60.2
10:29:38,60.5
10:29:39,60.4
10:29:40,61.5
10:29:41,62.2
10:29:42,62.3
10:29:43,62.6
10:29:44,62.6
10:29:45,62.5
10:29:46,62.4
10:29:47,62.4
10:29:48,62.4
10:29:49,62.4
10:29:50,62.0
10:29:51,62.0
10:29:52,61.9
10:29:53,61.9
10:29:54,61.8
10:29:55,61.8
10:29:56,61.9
10:29:57,62.0
10:29:58,62.4
10:29:59,62.7
10:30:00,62.7
10:30:01,63.0
10:30:02,63.1
10:30:03,63.2
10:30:04,63.2
10:30:05,63.3
10:30:06,63.4
10:30:07,63.2
10:30:08,63.1
10:30:09,63.0
10:30:10,63.1
10:30:11,63.2
10:30:12,63.3
10:30:13,63.4
10:30:14,63.5
10:30:15,63.5
10:30:16,63.5
10:30:17,63.5
10:30:18,63.6
10:30:19,63.6
10:30:20,63.5
10:30:21,63.5
10:30:22,63.6
10:30:23,63.4
10:30:24,63.5
